
138198892968804352,2,12,1
574121867942821888,4,2,9
552612970576740372,2,1,12
230211056105029632,7,1,7
545227325143253001,3,1,11
366148283812544523,1,5,9
569758271930368010,2,2,11
555543130821230644,3,3,9
510189515642503169,2,2,11
569758271930368010,3,3,9
555543130821230644,7,1,7
692020276661059634,6,1,8
510189515642503169,2,3,10
106230830178799616,20,10,10
454493111264083981,4,5,6
164225546304094208,6,2,7
663681277882531851,3,2,10
615659776453640193,1,3,11
231750471105249280,1,8,6
569758271930368010,4,2,9
250205145764331522,1,4,10
138198892968804352,1,8,6
270403690836393994,3,5,7
633249051013414926,6,1,8
510189515642503169,5,3,7
597754897391157258,4,2,9
633981715152371743,4,1,10
122322634829463553,3,6,6
138198892968804352,4,1,10
368571636804222987,-15,15,15
270403690836393994,7,2,6
692020276661059634,3,5,7
569758271930368010,6,3,6
399325966847049728,2,3,10
692020276661059634,1,3,11
476711703942529024,3,6,6
181377190275842048,3,6,6
164225546304094208,6,3,6
561706412674252800,8,1,6
243656780222038017,1,3,11
569758271930368010,2,5,8
555543130821230644,3,5,7
229836773126045697,1,8,6
164225546304094208,6,2,7
692020276661059634,2,3,10
368571636804222987,6,2,7
510189515642503169,7,1,7
172002275412279296,3,6,6
252128902418268161,3,5,7
235088799074484224,1,6,8
204255221017214977,1,1,13
111443842569416704,2,4,9
326318618117668864,3,4,8
569758271930368010,1,8,6
172002275412279296,2,2,11
